s1,s2,s3,s4,s5
91,84,89,94,90
89,86,94,94,84
97,98,94,92,85
97,94,90,95,87
99,90,84,86,81
81,88,84,83,87
92,98,88,83,89
86,83,97,98,94
83,82,95,90,85
95,83,86,80,95
88,88,87,99,87
92,88,83,96,92
98,87,83,90,84
83,86,91,87,92
82,80,88,81,93
89,86,91,89,87
83,85,95,81,94
96,94,84,99,81
88,92,88,90,92
92,84,90,91,81
93,94,92,81,98
97,86,91,95,96
93,85,97,98,97
82,88,82,94,86
84,97,91,86,84
92,89,93,98,98
92,96,92,82,98
86,92,95,96,96
85,94,88,83,93
82,97,88,93,96
95,82,87,83,95
96,82,89,80,88
89,90,99,80,84
93,89,90,91,94
88,85,90,88,89
94,93,90,85,86
96,85,99,97,99
90,96,85,83,94
99,88,93,90,91
94,84,96,97,99
85,99,87,87,87
96,91,97,92,80
84,84,85,81,83
89,93,95,93,88
98,98,88,91,86
89,92,92,99,93
84,95,87,84,83
87,98,98,89,85
93,90,83,92,94
94,83,94,82,80
93,99,82,91,92
98,89,95,96,89
93,87,83,84,90
90,97,93,85,89
83,88,86,99,98
92,91,85,91,83
81,85,83,89,83
96,96,85,91,90
96,94,82,81,94
91,98,83,90,90
89,90,86,91,84
83,98,83,92,81
88,82,94,85,93
98,91,87,87,96
85,89,87,99,97
94,83,85,98,83
82,99,95,99,83
93,96,94,86,95
90,96,81,98,85
99,90,85,83,88
86,98,86,95,90
95,98,81,86,89
97,91,89,84,93
95,98,90,90,94
85,89,93,98,95
91,99,83,86,86
84,83,85,85,83
97,81,88,91,98
81,93,85,87,89
94,90,96,89,84
95,89,81,99,80
91,90,93,99,88
96,96,92,91,89
89,98,81,99,80
83,86,80,95,84
87,95,97,87,99
80,86,81,90,95
95,96,83,94,91
86,95,99,89,99
98,85,87,83,84
82,84,95,94,80
95,89,87,86,93
80,88,81,96,85
90,86,97,83,98
82,85,90,88,95
83,81,90,82,85
86,97,93,89,92
91,81,89,90,87
95,93,82,87,82
84,83,81,85,94
93,96,93,88,97
94,95,80,99,81
80,80,97,94,99
93,96,92,97,82
87,83,97,92,86
82,80,82,99,87
87,93,92,93,81
80,90,88,95,88
94,96,87,93,81
95,85,85,90,96
90,83,85,99,81
96,86,82,91,81
85,96,94,93,87
85,96,82,95,87
83,99,88,83,83
82,98,98,98,98
86,86,90,88,87
97,92,93,81,93
84,87,94,81,92
88,88,99,95,90
85,87,91,92,84
96,96,91,98,93
88,81,99,95,86
96,88,80,85,82
97,91,85,90,86
82,85,95,96,90
93,99,80,83,88
86,81,98,96,89
83,81,91,82,91
96,83,86,93,93
89,82,85,84,85
87,89,87,87,89
96,80,87,91,91
87,81,96,80,94
81,92,98,85,99
84,91,87,97,95
86,98,83,91,95
92,95,84,87,94
99,87,93,90,95
88,88,98,82,86
80,84,87,84,94
90,96,80,99,83
84,98,98,84,95
96,85,80,92,99
82,84,89,83,93
85,84,83,95,97
80,99,86,85,99
93,89,91,96,95
80,98,98,82,97
96,99,83,82,85
88,96,92,93,84
91,84,98,82,92
94,94,99,81,95
84,91,89,90,83
83,93,91,83,97
88,87,88,97,89
85,86,97,93,98
88,96,87,98,84
82,95,95,94,81
80,91,86,89,89
98,88,94,89,97
89,98,82,80,88
87,96,90,87,99
98,82,92,99,99
93,90,80,80,81
97,81,87,98,92
85,95,92,97,84
80,89,84,81,98
94,91,91,85,90
92,86,91,98,84
95,85,99,94,81
90,90,96,92,86
93,80,98,85,80
92,95,91,98,93
91,99,82,94,95
97,93,82,91,92
96,92,88,86,92
93,93,81,83,88
93,88,93,86,94
90,95,86,82,94
96,94,97,81,96
96,85,92,82,92
92,89,93,88,91
93,90,80,81,84
82,87,80,85,81
87,81,99,96,98
93,86,81,92,95
85,85,92,85,91
88,87,91,82,96
86,93,99,96,90
95,98,98,81,99
87,96,86,95,97
87,90,89,93,83
84,97,84,87,86
89,82,84,98,89
91,96,99,90,85
91,95,99,87,97
85,80,98,80,97
99,88,89,94,86
88,84,97,93,81
93,98,97,94,84
99,94,82,97,81
80,89,95,89,83
98,87,98,95,86
95,80,91,92,99
81,83,88,84,95
80,88,89,94,80
92,94,86,89,98
80,97,94,91,84
81,85,92,84,92
96,95,93,91,92
82,83,86,93,84
98,86,87,87,89
86,96,82,99,82
93,86,83,99,95
91,84,96,81,84
86,98,94,82,88
99,98,98,81,86
94,86,86,82,99
92,89,94,99,83
81,99,92,89,93
83,95,94,99,80
81,99,92,87,94
90,88,91,89,85
83,81,80,83,95
89,85,98,97,91
90,92,88,83,80
86,89,88,90,87
90,80,81,95,89
87,86,85,86,82
83,84,84,85,98
98,90,96,88,80
82,80,99,82,82
84,90,89,81,97
96,92,99,89,95
80,92,95,86,84
91,90,81,91,92
92,99,87,97,98
81,85,98,92,84
94,83,99,81,95
90,90,96,97,81
85,92,85,82,82
84,82,81,86,98
99,84,97,85,89
84,94,94,81,98
94,87,83,95,97
83,86,87,92,85
94,83,80,89,89
92,80,93,91,89
91,85,99,98,98
96,98,91,81,83
80,99,95,92,98
89,95,99,90,97
83,80,81,83,93
96,81,97,83,98
90,86,92,93,92
87,86,94,85,93
95,92,96,99,90
85,88,95,97,88
89,93,84,87,99
95,98,99,81,86
98,80,90,82,90
91,94,91,93,85
84,90,84,86,86
82,83,92,91,98
96,99,96,86,97
89,94,89,88,91
91,99,93,94,90
80,94,81,88,81
96,99,93,99,87
95,94,98,81,90
85,95,80,82,91
82,98,94,96,94
87,81,96,93,97
82,97,89,96,80
98,92,82,85,97
81,95,93,87,89
89,92,91,93,85
88,81,89,81,96
95,93,97,92,91
86,91,95,84,87
93,82,83,90,81
90,99,84,93,80
99,97,98,93,95
85,86,93,80,95
81,88,87,81,97
86,80,85,89,90
98,84,80,90,80
93,97,93,95,81
88,95,90,80,93
94,95,98,89,80
81,92,88,91,97
87,85,94,89,82
89,85,82,97,90
98,96,93,90,85
82,98,95,85,92
82,81,99,86,98
98,91,92,93,97
84,82,94,96,84
83,91,84,88,95
80,86,96,97,94
86,80,96,87,97
80,90,93,80,92
84,98,85,93,87
94,91,90,83,90
94,90,81,82,91
85,89,83,94,95
92,95,91,94,91
88,91,86,84,87
83,85,91,99,85
90,84,94,93,92
91,86,94,87,96
83,94,92,91,99
96,80,90,86,96
89,97,86,86,88
95,81,86,98,88
81,87,81,80,89
82,87,87,80,92
92,99,80,96,96
98,87,82,88,98
80,90,91,83,95
90,99,85,88,82
80,99,87,91,87
81,84,81,84,91
85,91,93,88,96
98,85,98,89,91
87,82,96,89,97
81,98,94,88,81
87,83,97,96,97
91,95,83,83,90
98,89,95,84,80
95,84,91,85,85
98,89,86,93,82
97,85,86,81,96
84,86,94,81,80
89,97,87,90,80
82,80,80,89,82
95,99,92,80,87
81,99,88,97,84
86,87,80,94,96
87,87,88,91,93
92,99,82,82,96
82,82,85,81,92
84,88,81,93,98
97,97,93,95,84
89,87,83,88,85
94,96,95,82,84
98,82,87,92,99
96,98,96,90,94
93,84,98,83,82
83,92,84,82,85
90,98,98,91,93
99,92,98,93,97
98,86,93,90,89
82,97,87,96,87
80,95,92,82,83
91,93,83,81,80
85,94,86,97,98
90,83,95,85,98
88,91,91,95,98
99,94,97,86,92
87,94,98,83,96
94,89,98,95,97
93,85,90,96,83
98,83,89,94,94
85,85,91,80,86
99,96,87,99,82
82,83,89,89,80
96,85,96,86,86
93,94,95,92,83
86,91,90,88,84
86,92,88,81,99
88,97,87,83,88
98,88,96,97,83
98,98,82,99,96
85,98,98,85,90
92,81,97,92,83
83,83,95,86,85
97,90,80,84,82
80,96,89,99,89
87,83,87,81,90
82,92,98,92,92
83,97,89,85,90
96,80,82,81,88
84,82,87,85,90
96,84,81,95,86
87,92,91,80,91
94,85,99,89,80
96,98,91,92,98
97,80,94,80,94
90,80,89,99,94
86,83,91,92,89
82,94,89,82,96
86,82,85,91,97
88,86,98,86,82
99,90,83,93,96
87,81,98,90,95
90,82,81,95,90
90,81,97,93,93
85,96,94,95,92
88,92,88,90,93
80,82,95,86,95
81,84,86,87,88
88,80,97,87,98
97,89,80,87,83
81,86,80,93,93
92,97,80,93,88
83,96,94,85,87
97,91,87,91,94
92,90,98,90,80
99,93,86,99,88
82,85,91,97,94
95,98,91,92,98
89,99,94,93,92
93,84,80,94,80
91,98,90,99,95
96,87,97,82,98
81,92,85,84,87
88,86,90,84,90
85,93,91,81,88
95,99,91,98,86
92,98,90,89,93
88,83,84,89,84
83,96,91,90,96
94,95,99,94,82
96,88,83,93,82
91,86,92,82,81
99,99,92,92,94
86,80,94,88,99
96,87,93,86,92
99,88,97,83,96
92,93,87,89,91
85,86,84,97,91
89,80,90,97,97
82,93,82,85,80
97,87,87,82,82
83,98,81,92,94
82,98,95,92,93
99,87,82,84,95
87,82,85,87,89
90,96,96,98,81
90,80,84,98,97
96,95,87,99,95
97,93,86,83,97
88,94,97,81,91
90,90,83,94,99
80,87,90,87,94
88,86,98,81,95
93,93,85,89,88
83,81,88,93,83
91,81,90,89,92
83,93,89,84,80
88,83,95,96,84
96,93,89,88,83
84,88,87,85,84
80,83,94,81,98
96,97,86,96,96
93,87,99,83,90
90,92,88,91,97
92,90,90,82,94
91,92,90,92,82
92,95,88,94,95
91,82,97,89,88
95,96,95,97,80
95,99,95,95,80
80,87,87,87,81
81,84,94,97,84
85,97,95,92,91
94,82,98,82,90
92,80,85,90,98
98,90,82,88,87
84,89,96,94,90
84,96,95,81,85
94,92,95,81,85
99,98,97,80,97
81,82,93,95,85
82,98,96,93,95
82,88,83,87,87
90,90,97,88,83
95,92,85,91,80
98,95,80,97,90
97,89,86,93,87
85,99,83,84,97
90,87,91,84,96
92,94,98,95,80
86,92,97,84,95
89,86,87,95,94
95,91,98,95,93
82,94,98,97,90
83,85,90,84,94
80,87,84,92,80
92,83,80,81,89
87,81,91,83,92
99,92,87,98,98
80,93,87,96,96
82,80,95,90,90
89,87,88,89,89
99,92,96,84,84
94,80,89,89,93
86,85,89,81,82
83,98,96,98,90
81,92,84,98,81
95,88,86,98,98
88,82,87,80,91
97,80,80,99,98
83,87,81,85,87
97,84,94,92,88
88,82,83,82,91
95,94,87,80,95
81,89,87,85,94
90,92,85,90,82
94,84,89,81,84
92,95,93,83,96
78,75,74,71,74
73,74,78,71,71
74,72,74,78,76
75,74,77,72,78
71,77,76,76,78
78,72,75,73,73
76,73,71,71,70
78,78,78,76,73
77,72,75,78,70
77,73,74,71,73
74,73,75,71,74
74,78,72,77,78
77,77,75,73,76
76,76,73,77,77
78,72,73,70,77
78,74,71,70,78
77,70,74,73,75
73,78,76,76,76
76,71,75,72,72
72,76,73,72,78
73,74,75,77,71
75,78,78,70,77
71,76,75,77,70
75,77,70,75,71
73,77,75,75,72
77,77,73,73,72
78,76,75,78,70
75,72,76,75,72
70,71,78,76,74
74,74,74,76,75
76,78,70,70,71
76,72,73,73,74
72,73,77,73,76
77,76,76,75,78
76,76,77,73,78
70,77,73,75,71
73,75,75,75,72
72,70,70,74,71
73,78,76,76,77
73,70,74,78,78
78,73,78,75,73
74,71,74,78,70
75,74,77,75,70
71,76,70,74,78
75,75,73,74,75
74,74,71,73,75
74,71,70,70,70
78,75,73,77,72
71,77,74,76,74
76,77,75,71,71
78,75,73,73,76
72,76,75,70,71
78,71,76,72,75
70,73,72,73,70
76,77,78,78,75
74,72,71,78,74
73,76,74,75,70
75,71,70,72,73
74,71,73,70,72
75,75,78,73,78
78,76,73,74,76
71,77,71,74,77
73,77,70,75,75
71,70,78,75,75
78,76,72,75,70
70,73,70,71,71
78,75,76,75,77
71,77,76,71,77
72,77,70,78,70
74,72,71,78,75
78,71,73,71,71
70,71,72,75,73
77,73,70,75,74
74,73,76,72,76
75,76,75,75,77
78,72,71,76,73
70,78,78,70,74
70,72,71,77,74
78,77,78,75,70
73,76,73,71,76
73,77,71,72,77
74,72,72,77,77
74,73,73,78,73
77,72,78,78,74
70,74,70,74,78
73,76,74,75,78
78,72,78,77,78
71,75,78,74,73
77,75,75,73,72
71,71,70,76,74
73,73,71,78,74
71,73,75,76,77
76,78,75,78,78
70,72,73,75,71
78,73,78,75,76
70,72,74,76,76
70,70,73,78,78
72,72,75,77,70
78,76,73,73,71
76,73,73,71,76
77,74,74,78,72
74,77,76,75,75
78,75,73,77,73
71,73,75,73,73
71,71,72,74,70
76,71,73,76,72
72,71,78,77,75
71,72,78,71,71
74,71,75,74,73
78,77,74,73,70
76,73,75,75,70
70,73,72,73,71
71,77,75,70,71
77,78,71,75,77
76,70,74,72,77
77,71,74,72,76
75,75,71,75,72
78,76,76,72,77
70,76,76,70,71
76,75,70,78,72
78,76,74,73,77
71,77,77,76,73
78,78,75,71,72
74,73,74,73,72
75,71,74,78,74
78,72,70,78,71
70,72,76,74,74
72,75,77,74,75
75,72,71,75,75
75,71,77,72,71
78,71,76,70,73
74,74,76,70,78
71,72,78,75,71
73,71,74,74,76
78,77,75,73,74
71,78,72,73,78
73,73,73,75,73
71,72,78,70,77
73,73,72,74,71
77,72,71,75,75
73,71,73,71,72
71,70,78,75,78
73,73,74,76,74
71,77,76,76,77
71,75,74,72,77
70,73,77,78,72
75,70,72,72,74
78,73,77,77,74
73,78,76,78,71
76,74,72,73,77
78,75,71,72,78
75,72,77,70,70
77,76,76,73,76
70,70,72,76,78
75,70,76,70,75
70,76,70,75,70
71,72,75,73,74
76,71,71,77,77
74,75,74,70,75
77,78,72,70,77
76,72,71,75,75
72,72,78,76,71
77,72,73,70,71
70,74,70,72,77
75,75,73,70,74
76,72,74,74,72
73,76,74,72,76
73,78,73,75,76
77,73,73,78,78
74,73,78,75,76
73,73,73,71,77
76,70,78,70,70
72,75,78,77,74
75,78,73,75,75
72,74,78,71,72
71,72,75,77,78
73,72,77,75,76
78,70,71,73,77
70,77,77,78,73
77,77,76,77,74
76,75,73,71,76
70,77,71,74,77
74,76,71,72,76
70,70,71,70,70
78,73,71,76,71
78,78,78,77,71
76,77,78,72,78
74,73,72,77,72
74,74,75,76,73
75,70,76,75,77
76,76,74,73,78
75,76,76,77,77
75,75,70,78,70
76,78,70,72,77
77,70,73,70,72
78,72,76,70,71
78,72,72,70,77
72,73,73,78,76
71,70,71,75,71
75,72,78,70,75
77,76,76,71,75
73,76,75,73,72
77,78,77,73,76
73,73,70,76,76
78,77,73,72,74
74,78,75,78,74
73,74,72,70,70
76,76,70,77,70
70,76,75,76,75
77,73,78,77,70
77,77,70,75,71
73,72,71,76,74
77,75,77,77,70
70,72,72,73,78
70,74,77,74,75
78,70,72,76,71
74,75,75,70,77
77,71,70,71,77
70,71,71,73,77
75,77,72,70,76
72,74,77,77,76
75,70,76,78,78
70,78,71,73,71
78,74,70,73,74
78,74,72,71,70
75,77,78,70,77
75,75,72,77,70
70,70,76,70,72
72,74,70,73,75
70,71,72,70,76
72,78,71,74,72
71,78,73,77,76
74,77,74,73,71
76,72,77,71,78
72,77,71,70,74
73,72,73,72,75
76,73,76,71,72
72,72,71,77,70
76,77,75,71,77
78,77,73,75,78
78,77,78,77,76
71,72,71,71,77
78,70,70,70,73
78,73,77,75,76
72,75,73,70,78
74,78,70,71,75
78,73,72,71,72
76,74,71,77,76
76,72,76,75,75
73,78,72,70,73
72,76,71,71,70
71,72,77,77,76
78,73,72,72,77
76,75,77,77,74
73,75,77,72,71
75,78,70,72,72
72,74,72,77,72
75,77,78,72,70
72,76,73,78,74
75,71,72,72,77
70,78,78,70,76
71,72,71,74,75
75,72,72,78,78
78,77,76,70,77
71,71,76,71,74
78,78,70,73,72
78,78,76,78,70
71,77,75,75,76
75,77,76,75,70
74,77,78,73,76
78,73,72,75,74
76,72,72,77,73
72,74,78,73,75
72,72,73,76,75
75,72,70,76,73
74,78,72,73,70
76,72,76,76,73
73,70,78,70,76
73,72,74,78,77
73,73,76,71,76
71,75,75,73,75
72,71,77,78,73
74,74,77,75,73
74,72,70,77,74
73,75,78,77,72
70,74,74,76,78
78,73,73,73,76
74,73,74,70,73
77,76,73,77,77
77,74,75,73,71
75,77,77,78,74
73,78,77,73,71
72,76,73,76,73
70,77,76,70,77
73,73,72,78,77
70,77,78,73,70
78,72,75,78,72
74,72,72,78,78
70,72,75,72,74
72,77,77,71,76
70,70,78,73,71
75,76,75,72,71
72,76,71,74,73
72,78,74,77,78
75,70,76,75,73
74,75,73,70,73
74,77,72,76,71
74,78,76,74,75
71,74,76,70,75
75,77,75,78,77
70,72,76,70,73
72,71,75,70,76
70,78,77,77,71
76,70,78,72,78
72,76,72,78,78
76,75,78,74,75
76,71,71,77,75
78,78,77,74,76
70,71,71,74,75
70,74,78,73,73
76,76,70,76,74
71,77,70,78,71
76,71,75,76,73
73,71,71,72,76
75,70,76,71,78
70,78,78,72,72
70,78,74,70,72
78,75,74,73,70
77,74,74,74,77
74,70,76,70,77
77,70,73,74,76
78,76,74,74,72
78,76,71,78,73
78,74,76,78,78
78,75,70,71,74
77,70,75,70,70
77,76,74,73,78
70,74,70,77,71
72,78,74,74,77
77,77,76,75,78
70,75,77,71,75
75,74,78,78,77
73,70,70,70,75
76,71,76,74,73
74,71,71,70,78
76,74,77,75,73
74,73,72,71,74
78,78,74,75,74
71,75,71,77,76
78,78,72,73,75
77,77,74,71,72
72,71,71,74,70
73,71,76,77,76
75,74,73,74,73
71,70,73,75,70
74,72,72,72,72
70,75,76,72,70
70,73,73,77,73
71,72,70,78,74
77,72,76,78,74
73,70,78,77,73
77,71,73,73,70
75,78,76,70,72
70,77,75,73,74
73,76,76,77,71
76,77,76,73,70
70,76,77,78,72
70,78,74,78,78
70,74,72,78,76
78,78,78,78,73
74,74,71,76,76
75,78,78,78,72
70,71,75,74,73
77,70,75,76,75
73,76,72,76,73
74,78,75,74,72
72,74,76,72,75
74,71,74,75,78
71,78,73,73,73
76,71,73,70,73
76,71,77,75,71
76,76,76,73,71
77,72,78,73,75
72,71,77,78,73
74,76,78,71,73
77,72,78,76,74
75,72,78,78,78
75,75,73,75,74
78,70,70,72,70
78,76,74,76,72
76,78,75,76,76
70,73,75,71,78
73,74,77,75,77
74,71,76,71,77
73,71,76,73,76
70,73,75,71,70
77,74,70,73,72
74,71,76,76,71
77,74,71,76,74
73,78,75,74,78
72,71,73,76,76
74,70,75,71,73
71,73,75,71,73
76,77,71,70,73
77,77,74,77,76
72,73,70,77,74
74,76,73,73,75
73,72,70,73,72
71,77,74,73,70
71,70,74,75,75
72,75,78,76,71
70,72,71,76,76
72,74,75,71,71
73,74,71,71,71
77,73,76,71,76
77,75,70,71,70
78,73,70,70,75
71,73,74,72,77
70,76,71,77,71
72,75,70,70,73
75,73,76,77,74
76,76,71,71,76
75,71,74,74,74
76,70,75,70,76
71,70,70,74,74
75,71,70,77,77
70,71,76,72,76
78,74,78,72,75
76,73,76,78,75
70,70,72,74,76
76,71,70,71,75
73,77,74,75,73
78,75,74,73,71
71,78,77,78,72
73,70,73,75,71
72,75,73,76,76
74,75,72,71,71
71,78,72,73,70
73,74,78,70,71
75,72,76,72,77
72,78,78,77,78
73,78,74,72,74
75,73,76,75,70
76,75,70,75,72
71,76,78,73,76
78,74,75,71,70
74,70,70,75,76
73,73,77,78,70
74,70,77,74,73
74,70,78,75,71
77,70,73,74,74
75,75,77,77,73
71,77,76,78,78
76,76,76,72,76
70,71,73,78,76
72,70,77,75,73
75,70,77,77,73
70,77,72,73,70
73,76,72,70,73
76,76,77,74,77
78,76,74,78,71
73,78,71,78,74
73,73,71,77,71
72,75,76,71,73
74,77,73,74,76
71,75,75,72,78
72,73,74,74,72
76,75,74,76,76
72,76,70,77,73
78,76,72,72,78
74,70,77,73,71
78,74,76,74,76
74,78,77,73,75
75,70,74,72,75
77,75,71,72,77
78,78,77,77,77
78,70,72,78,77
71,74,70,76,70
70,70,76,77,73
73,70,74,70,73
70,75,72,77,77
73,77,78,76,75
71,72,71,73,78
71,78,75,77,73
78,70,74,71,72
71,77,76,77,75
77,70,71,74,75
77,75,76,71,72
72,70,78,74,70
70,72,71,75,74
72,75,72,71,76
74,73,72,76,78
77,76,77,70,73
78,75,76,71,74
77,71,72,74,71
76,74,75,77,78
77,77,75,76,78
76,78,71,77,76
76,72,71,73,77
70,76,70,78,77
74,78,74,73,73
74,78,77,74,71
71,71,75,75,72
73,72,77,72,71
71,74,74,76,70
77,77,70,78,75
70,75,77,76,73
71,76,73,70,72
78,75,71,78,75
78,75,74,76,76
76,74,71,77,75
76,77,74,78,74
70,77,71,75,73
75,78,74,70,77
73,74,71,73,77
74,72,76,70,70
71,70,71,70,71
71,70,73,75,77
73,75,76,78,74
74,76,72,78,72
77,74,73,71,72
72,78,72,78,71
70,76,77,72,70
70,77,74,72,75
75,77,76,73,75
78,73,74,71,76
77,78,71,74,72
73,75,74,71,76
78,73,73,76,76
75,74,77,77,71
77,72,78,73,78
70,74,73,72,78
78,75,77,78,77
70,72,77,75,74
76,76,72,75,76
74,75,71,76,70
74,75,75,74,78
76,70,72,73,78
73,72,76,71,72
74,71,78,76,77
70,78,78,72,72
70,73,73,75,76
75,78,70,75,70
70,73,71,74,77
78,76,77,77,78
78,73,77,70,74
76,72,70,70,73
75,77,72,73,71
76,71,70,70,73
75,71,77,77,74
74,77,78,75,78
70,71,76,72,77
78,70,73,74,75
75,70,70,70,74
70,73,76,73,76
71,78,78,70,71
76,70,72,70,70
75,70,70,71,74
74,70,71,71,74
78,75,73,71,78
76,75,74,77,71
78,71,75,78,71
77,78,76,76,70
71,73,78,72,70
74,78,71,75,73
73,77,73,71,74
74,76,71,76,70
72,71,78,70,74
76,72,75,73,78
78,75,77,72,77
74,77,75,75,74
72,74,75,77,72
71,77,71,75,78
78,72,73,76,77
73,73,75,76,75
78,75,73,78,72
76,74,72,78,75
71,77,72,75,75
70,75,78,77,71
75,77,78,78,71
77,74,74,77,78
73,75,75,75,74
72,78,74,73,77
77,78,71,72,74
75,78,72,71,72
73,72,72,77,78
71,78,77,75,74
71,78,72,70,73
71,76,70,70,76
71,77,76,73,78
77,72,71,72,72
75,78,74,71,73
72,77,74,72,72
74,74,78,75,78
74,75,71,71,77
77,73,73,75,78
72,76,75,76,73
75,75,71,70,70
75,76,77,78,74
75,76,75,72,77
76,78,72,75,73
73,71,72,71,74
70,73,74,73,75
70,77,78,74,75
70,72,73,77,73
74,71,75,74,71
77,78,77,78,77
74,75,75,70,71
77,77,75,72,74
70,72,70,72,76
76,76,78,76,78
72,73,77,75,74
78,73,75,75,77
70,75,70,76,74
77,74,74,70,74
77,72,72,74,77
77,77,78,78,76
77,73,76,76,77
75,73,74,73,71
75,77,71,75,76
73,78,72,74,71
76,76,76,71,71
74,73,77,76,74
70,75,75,78,72
76,76,75,78,76
73,74,76,78,73
78,75,78,72,78
70,76,75,70,74
70,70,70,71,75
77,75,70,73,70
75,74,78,71,77
76,77,74,72,77
72,78,74,74,76
72,71,78,75,76
73,73,78,78,71
75,72,72,71,78
71,78,76,72,70
70,74,74,75,78
74,73,73,73,77
71,78,73,76,77
77,75,72,72,74
75,71,70,73,70
78,71,77,74,71
70,75,77,77,77
72,75,74,76,73
74,76,75,76,77
70,73,78,72,70
77,76,70,76,73
75,76,76,73,75
72,75,77,76,71
70,75,78,76,78
78,75,75,70,75
78,76,76,76,77
70,71,75,75,73
72,70,75,78,70
75,75,73,71,71
77,72,70,75,72
78,75,76,74,77
74,73,73,73,72
71,77,78,71,70
76,78,76,70,76
77,70,74,77,70
74,75,72,70,75
75,72,73,70,71
78,72,75,72,73
76,74,74,72,76
70,72,73,75,72
78,75,77,75,74
73,77,70,73,73
75,70,71,72,70
71,70,73,78,70
75,77,73,73,73
73,73,71,71,73
75,78,75,70,78
72,70,74,76,72
71,76,77,74,74
75,78,71,77,74
74,77,74,75,72
76,74,72,73,71
71,78,71,76,78
77,71,76,74,75
74,72,73,70,74
74,71,73,73,75
73,77,75,71,77
76,77,73,72,78
78,78,75,78,77
75,71,74,78,78
70,74,78,74,74
76,73,75,72,71
76,72,75,72,71
72,76,72,77,74
78,71,78,75,75
78,74,77,76,71
75,72,72,77,70
75,72,75,77,70
73,72,72,74,76
71,74,77,75,75
70,70,71,70,73
74,73,72,73,75
77,71,74,71,78
78,72,78,74,76
77,70,75,73,70
74,78,71,70,76
75,75,70,77,78
77,76,78,73,75
70,78,73,70,75
76,71,73,76,78
73,72,72,76,71
78,70,73,76,73
72,70,70,70,72
71,77,77,70,75
75,74,75,78,70
74,77,75,78,75
74,70,76,76,73
78,74,72,73,71
78,78,76,78,71
71,77,78,77,73
76,70,73,76,74
76,70,70,75,77
74,73,73,74,78
76,75,77,73,75
73,73,70,78,77
77,70,72,76,75
78,77,77,73,71
75,74,77,71,70
74,76,75,78,70
70,74,78,75,75
75,70,74,77,74
70,72,76,75,77
77,70,73,71,72
73,70,78,78,77
71,71,73,75,74
76,78,77,78,76
75,71,74,76,78
73,72,74,71,74
76,72,70,77,75
75,73,71,74,74
73,73,76,72,74
74,71,72,77,77
74,75,78,74,70
71,74,77,72,76
72,76,74,72,75
75,73,70,76,71
78,71,77,74,78
71,74,76,78,78
71,73,76,74,75
74,73,70,74,73
76,70,74,76,70
75,78,77,77,74
71,73,75,76,72
76,73,77,71,72
77,76,76,73,78
73,77,77,73,70
72,72,70,71,72
73,75,75,76,75
78,77,71,77,72
74,73,70,74,78
78,76,76,75,71
75,78,73,76,75
70,78,72,72,75
72,75,76,71,78
73,73,70,77,70
76,72,70,75,70
71,76,71,73,73
75,77,75,77,74
70,75,70,71,73
73,72,78,73,77
70,72,76,71,73
71,74,70,72,75
74,72,77,78,74
73,76,75,75,73
78,76,74,70,70
71,71,77,77,77
75,75,72,74,71
76,73,72,74,78
77,77,74,77,77
77,73,71,78,74
73,78,74,70,77
70,78,74,72,78
77,78,73,73,78
71,75,73,73,71
78,75,75,75,74
74,70,71,72,72
70,74,75,72,71
75,74,74,72,74
77,70,78,72,76
70,77,72,74,74
74,77,73,78,71
71,73,74,75,74
72,71,77,74,71
78,74,75,75,71
75,73,77,73,70
78,77,70,73,70
75,78,76,71,71
76,73,72,75,72
71,70,74,78,71
76,71,72,70,77
77,72,78,75,71
73,71,77,74,75
72,78,76,77,75
72,75,78,74,77
77,72,74,75,75
74,77,71,72,72
78,70,70,78,75
78,77,78,72,78
75,73,70,73,78
71,76,74,76,70
74,75,77,78,78
78,71,73,75,73
75,77,76,73,71
70,76,72,74,77
73,74,72,73,72
73,74,72,70,76
76,78,71,78,70
73,71,72,75,74
75,70,70,70,75
70,71,74,77,77
76,71,70,77,74
74,76,72,71,73
73,71,77,72,72
75,77,78,76,70
70,72,75,72,73
71,74,77,71,72
78,70,71,75,78
76,70,76,76,77
72,70,72,70,77
73,73,75,75,73
76,78,70,76,78
71,77,71,74,77
74,73,75,71,75
78,71,75,72,70
76,78,75,76,78
76,77,73,70,74
72,71,77,77,74
75,72,76,76,70
77,78,71,78,74
73,72,77,71,78
73,75,73,73,70
76,71,78,78,75
77,73,74,77,78
72,74,78,78,70
71,77,78,71,70
78,70,73,70,71
73,75,77,76,72
70,70,71,77,70
75,75,77,78,74
73,70,77,70,74
77,74,73,77,77
78,70,74,77,76
75,75,76,70,78
70,71,77,72,70
77,78,73,72,75
78,78,78,70,76
72,73,75,78,70
73,74,77,74,72
78,72,75,75,76
78,77,70,78,76
72,76,78,74,77
78,77,75,72,78
74,73,73,74,76
73,70,74,74,78
78,77,73,76,77
75,76,74,73,71
75,78,74,71,74
72,71,72,78,76
70,72,75,73,71
72,76,70,76,75
70,72,74,77,70
72,72,78,71,75
70,78,70,73,78
70,70,75,70,78
72,75,77,75,75
77,70,74,78,77
73,78,72,76,70
71,73,78,70,78
74,76,72,74,76
75,70,75,75,75
70,72,75,77,74
70,74,75,74,75
73,73,71,73,77
78,77,70,75,72
70,74,71,72,73
75,71,71,75,75
73,72,72,71,72
74,71,72,70,75
